[2025-04-11 12:39:03,661::train::INFO] Namespace(config='./configs/train_config_v2.yml', split_file='data/RDB7/splits/random_split.pkl', device='cuda', resume_iter=None, logdir='./logs/trained_rdb7/', pretrain='', project='tsdiff-rdb7', name='goflow-train-split-random_split', tag='goflow-train-split-random_split', fn=None)
[2025-04-11 12:39:03,661::train::INFO] {'model': {'type': 'diffusion', 'network': 'condensenc_rtsp', 'output_mode': 'ts', 't0': 0, 't1': 5000, 'edge_cutoff': 10.0, 'edge_order': 4, 'pred_edge_order': 3, 'encoder': {'name': 'schnet', 'edge_emb': False, 'num_convs': 7, 'cutoff': 10.0, 'smooth_conv': False, 'mlp_act': 'swish', 'hidden_dim': 256}, 'feat_dim': 27, 'hidden_dim': 256, 'edge_encoder': 'mlp', 'loss_energy_weight': 0.4, 'mlp_act': 'swish', 'edge_cat_act': 'swish', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000}, 'train': {'seed': 1, 'batch_size': 128, 'val_freq': 200, 'log_freq': 200, 'max_iters': 40000, 'max_grad_norm': 3000.0, 'anneal_power': 2.0, 'optimizer': {'type': 'adam', 'lr': 0.0005, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.8, 'patience': 10, 'min_lr': 0.000125}}, 'dataset': {'data': 'data/RDB7/processed_data/data.pkl'}}
[2025-04-11 12:39:04,958::train::INFO] Loading datasets...
[2025-04-11 12:54:39,606::train::INFO] [Validate] Iter 12001 | Loss 44.152130 
[2025-04-11 12:54:54,103::train::INFO] [Train] Iter 12201 | Loss 42.88 | Grad 406.54 | LR 0.000500
[2025-04-11 12:54:54,720::train::INFO] [Validate] Iter 12201 | Loss 43.139281 
[2025-04-11 12:55:08,922::train::INFO] [Train] Iter 12401 | Loss 42.41 | Grad 429.43 | LR 0.000500
[2025-04-11 12:55:09,542::train::INFO] [Validate] Iter 12401 | Loss 42.000887 
[2025-04-11 12:55:25,607::train::INFO] [Train] Iter 12601 | Loss 41.18 | Grad 393.85 | LR 0.000400
[2025-04-11 12:55:26,225::train::INFO] [Validate] Iter 12601 | Loss 42.875653 
[2025-04-11 12:55:40,609::train::INFO] [Train] Iter 12801 | Loss 40.85 | Grad 359.39 | LR 0.000400
[2025-04-11 12:55:41,228::train::INFO] [Validate] Iter 12801 | Loss 42.059465 
[2025-04-11 12:55:58,658::train::INFO] [Train] Iter 13001 | Loss 39.80 | Grad 331.55 | LR 0.000400
[2025-04-11 12:55:59,277::train::INFO] [Validate] Iter 13001 | Loss 41.093271 
[2025-04-11 12:56:13,618::train::INFO] [Train] Iter 13201 | Loss 40.67 | Grad 385.36 | LR 0.000400
[2025-04-11 12:56:14,239::train::INFO] [Validate] Iter 13201 | Loss 43.531343 
[2025-04-11 12:56:29,317::train::INFO] [Train] Iter 13401 | Loss 40.44 | Grad 399.01 | LR 0.000400
[2025-04-11 12:56:29,935::train::INFO] [Validate] Iter 13401 | Loss 40.064342 
[2025-04-11 12:56:45,303::train::INFO] [Train] Iter 13601 | Loss 39.78 | Grad 404.52 | LR 0.000400
[2025-04-11 12:56:45,924::train::INFO] [Validate] Iter 13601 | Loss 40.752811 
[2025-04-11 12:57:00,658::train::INFO] [Train] Iter 13801 | Loss 40.13 | Grad 419.16 | LR 0.000400
[2025-04-11 12:57:01,278::train::INFO] [Validate] Iter 13801 | Loss 42.418707 
[2025-04-11 12:57:22,352::train::INFO] [Train] Iter 14001 | Loss 39.69 | Grad 398.74 | LR 0.000400
[2025-04-11 12:57:22,973::train::INFO] [Validate] Iter 14001 | Loss 46.099554 
[2025-04-11 12:57:37,696::train::INFO] [Train] Iter 14201 | Loss 40.03 | Grad 426.31 | LR 0.000400
[2025-04-11 12:57:38,317::train::INFO] [Validate] Iter 14201 | Loss 43.120369 
[2025-04-11 12:57:58,702::train::INFO] [Train] Iter 14401 | Loss 39.12 | Grad 405.96 | LR 0.000400
[2025-04-11 12:57:59,544::train::INFO] [Validate] Iter 14401 | Loss 41.521550 
[2025-04-11 12:58:29,380::train::INFO] [Train] Iter 14601 | Loss 40.61 | Grad 467.14 | LR 0.000400
[2025-04-11 12:58:30,001::train::INFO] [Validate] Iter 14601 | Loss 44.502486 
[2025-04-11 12:58:44,380::train::INFO] [Train] Iter 14801 | Loss 39.70 | Grad 407.38 | LR 0.000400
[2025-04-11 12:58:45,004::train::INFO] [Validate] Iter 14801 | Loss 42.624174 
